,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
1600,1700,jurassic world evolution 2,10,10,15,4
1601,1701,deep blue sea 2,4,14,15,167
1602,1702,no ordinary family,4,1,12,38
1603,1703,stake land,9,14,15,49
1604,1704,evangelion shin gekijôban: jo,2,5,12,197
1605,1705,team thor,12,1,16,149
1606,1706,my adventures with superman,2,5,13,3
1607,1707,made in abyss: fukaki tamashî no reimei,2,13,12,108
1608,1708,nutty professor ii: the klumps,8,4,15,71
1609,1709,justice league vs. teen titans,2,5,13,3
1610,1711,lost in austen,9,17,3,11
1611,1712,the dark side of the moon,4,14,9,67
1612,1713,seobok,4,6,6,8
1613,1714,heavy rain,5,12,9,86
1614,1715,vratar galaktiki,4,6,0,35
1615,1716,cocoon: the return,10,1,9,142
1616,1717,ice soldiers,4,6,6,8
1617,1718,autómata,4,12,15,31
1618,1719,tenshi no tamago,2,12,16,115
1619,1720,2-headed shark attack,4,13,11,27
1620,1721,hardware wars,4,1,15,12
1621,1722,star trek: renegades,4,13,15,6
1622,1723,mass effect: legendary edition,4,13,15,6
1623,1724,otomege sekai wa mob ni kibishii sekai desu,2,1,16,137
1624,1725,a pokol mélyén,11,6,6,162
1625,1726,generator rex,2,5,13,3
1626,1728,yôjû toshi,2,5,16,53
1627,1729,taylor swift: bad blood,12,17,2,87
1628,1730,rendezvous with rama,10,11,15,118
1629,1731,teen titans go! vs. teen titans,2,5,13,3
1630,1732,down,4,14,9,67
1631,1733,portal 2,10,1,15,178
1632,1734,ss-gb,4,12,15,31
1633,1735,lapsis,9,11,15,168
1634,1736,batman and harley quinn,2,5,13,3
1635,1737,small wonder,8,10,15,57
1636,1738,shorts,10,1,10,177
1637,1739,the adventures of bob & doug mckenzie: strange brew,8,8,15,92
1638,1740,something in the dirt,8,14,15,29
1639,1741,lilo & stitch: the series,2,5,13,3
1640,1742,"batman: the dark knight returns, part 2",2,5,7,28
1641,1743,the ice pirates,4,13,11,27
1642,1744,kamisama no iu tôri,10,14,15,19
1643,1745,ewoks: the battle for endor,10,10,16,88
1644,1746,666 park avenue,9,17,14,43
1645,1747,clone high,2,1,15,74
1646,1748,dinotopia,10,10,16,88
1647,1749,chosen,9,11,15,168
1648,1750,hostile,9,14,15,49
1649,1752,multiversus,4,17,15,25
1650,1753,ben 10: race against time,4,13,10,81
1651,1754,the colony,4,6,6,8
1652,1755,power rangers s.p.d.,4,13,15,6
1653,1756,alien,11,6,6,162
1654,1757,star wars: the force unleashed,4,13,16,40
1655,1758,destiny 2,4,13,16,40
1656,1759,link click,2,5,16,53
1657,1760,tremors 3: back to perfection,4,1,14,91
1658,1761,fortress,4,8,15,51
1659,1762,samâ uôzu,2,5,13,3
1660,1763,lake placid: the final chapter,4,13,11,27
1661,1764,lake placid 3,4,13,11,27
1662,1766,modern problems,8,17,15,145
1663,1767,teen titans go! & dc super hero girls: mayhem in the multiverse,2,5,13,3
1664,1768,avengers: quantum encounter,12,5,11,36
1665,1769,the adventures of pluto nash,4,1,15,12
1666,1771,a trip to the moon,12,5,13,72
1667,1772,ghoul,9,17,14,43
1668,1773,class of 1999,4,14,15,167
1669,1774,shazam!,4,10,16,133
1670,1775,the callisto protocol,4,14,15,167
1671,1776,quarantine 2: terminal,11,6,6,162
1672,1777,viper,4,13,7,7
1673,1778,mortal kombat: conquest,4,13,16,40
1674,1779,mass effect 3,4,13,15,6
1675,1780,fateful findings,9,17,9,32
1676,1781,metal gear rising: revengeance,4,13,15,6
1677,1782,steel,4,13,7,7
1678,1783,jin-rô,2,5,12,197
1679,1785,first wave,10,12,9,10
1680,1786,thor: god of thunder,4,13,16,40
1681,1787,extant,9,6,6,2
1682,1788,mænd & høns,8,12,9,54
1683,1789,escape from tomorrow,9,17,14,43
1684,1790,extraterrestrial,4,14,9,67
1685,1791,leprechaun 4: in space,8,17,14,103
1686,1792,x,11,6,6,162
1687,1793,star-crossed,9,4,15,16
1688,1794,unbreakable kimmy schmidt: kimmy vs the reverend,10,1,9,142
1689,1795,aquarium of the dead,4,1,14,91
1690,1796,freejack,4,8,15,51
1691,1797,godsend,4,12,16,55
1692,1798,flcl,2,5,11,47
1693,1799,i'm ok,10,12,15,42
1694,1800,the event,5,12,9,86
1695,1801,robot jox,4,6,6,8
1696,1802,koi wa sekai seifuku no ato de,2,5,11,47
1697,1803,il ragazzo invisibile,4,13,11,27
1698,1804,batman: assault on arkham,2,5,13,3
1699,1805,gantz,2,5,12,197
1700,1806,screamers,11,6,6,162
